userid,今日の内容で、分かったこと・できたことを書いてください,今日の内容で、分からなかったこと・できなかったことを書いてください,今日の内容を自分なりの言葉で説明してみてください,今日の授業の感想や反省を書いてください,質問があれば書いてください
C-2021-2_U42,AIを利用したビジネスとして、シェアリングエコノミーがあげられる。また、AIによる商品の推薦、顧客監視、デジタルトランスフォーメーションなどにより、様々な業務がAIによって行われている。,,人工知能とは人間の知能を真似する機械のことであり、その中には特定の知能だけを人工的に実現したAIである特化型AIがある。現在利用されているAIのすべてはこれにあたる。また、人間の知能と同じ柔軟さと多機能性を持つ汎用AIも存在する。,AIの利便性や社会にもたらす利益を詳しく知ることができた。AIは社会に大きく貢献する一方で、AIが進化するにつれていつか我々人間の知能を上回る時がやってくるのだろうかと少し不安に思った。便利すぎるAIも見方によっては危険なものとなりうるということを念頭に置いておきたい。,
C-2021-2_U43,データ分析の、発見・グルーピングについて理解することができた。また、現在のAIができることとできないことについて知ることができた。,,"発見とは大規模なデータの中に潜む傾向を見つけることであり、その手法には頻出パターン発見と相関分析がある。相関には正の相関、負の相関、無相関の三つがある。グルーピングとはデータをいくつかのグループに分けることであり、グループがあらかじめ分かれていない時にはクラスタリングという作業が必要となる。ただ、データの「似ている」という判断は非常に多岐にわたるため、絶対的な正解は存在しない。
AIとは人間の知能の真似をする機械のことであり、特定の知能だけを人工的に再現した特化型AIと柔軟さと多機能性を持つ汎用AIの二つがあるが、現在存在するのは前者のみであり、後者は検討段階に過ぎない。すでにシリなどの形で私たちのまわりにAIは存在しており、AIを活用したビジネスも多く存在している。AIも機械学習を行い、予測や認識・分類などができるようになる。ただ、データが十分にない場合、またデータが似たようなものばかりである場合は性能が発揮できない。このように現段階でAIはまだ万能ということはできない。",身近な話題が多く感じ、わかりやすかった。,
C-2021-2_U44,データの相関と因果関係が必ずしも一致するわけではないということ。,深層ニューラルネットワークが何をするのかよく分からなかった。,大規模なデータに対して、相関や頻出パターンなどの傾向を見つける方法を発見という。また、データ全体の状況把握をするためにデータの分類を行うことをグルーピングという。グルーピングにはあらかじめグループが決まっている場合と、決まっていない場合のクラスタリングがある。現在、人工知能は人間の代わりとして広く利用されている。人工知能を作るには多くのデータを用いて機械学習を行い、関数を理想的な形にする必要がある。,,
C-2021-2_U46,"データの分類
意味あるデータの利用
AIの現状への理解",,,将棋AIとかIoTとかAI技術が近年話題になることが多くて、それに関係する話が多かったので面白かった,
C-2021-2_U48,,,,やはり多機能をもつAIを作ることは難しいことなんだと思った。しかし何かに特化したAIはその特化したことだけを見ると人間の能力を上回っていることもあるのでAIは便利だとも思った。,
C-2021-2_U5,技術が発達した現在においても、総合的な認知能力において人間に代わるようなAIは未だ存在しない。一見単純なデータの分析にも複雑な分析が必要になる。,パターン認識のベクトル表の仕組みがあまりピンとこない。,"集めたデータの相関から、予測モデルをつくることができる。しかし、要因が不明だったり状況が異なったりすることで、予測は難しい。また、似ているデータを集めて強い相関をつくるクラスタリングという技術もあるが、何を以て似ているとするかは人それぞれなので、絶対性は確保されない。
現在のAIは特定の知能だけを実現した特定型AIである。対して人間並みの知識の多様性と柔軟性を兼ね備えたAIは汎用AIと呼ばれるが、この実現には全脳シュミレーションが必要となる。AIは人工知能を有しているが、これは大量のデータを集めて分析し学習する役割を持つ。ただし、その性能には現在限界があり、すべてのデータを正しく認識できるわけではない。認識能力の向上にはパターン認識の性能upが重要である。",今までスマホなどに内蔵された人工知能を多く利用していたが、そこにどれほど複雑な処理が必要とされているかがわかり驚いた。無数のデータがあふれる現代において、AIがどれほど進化していくか非常に楽しみである。,
C-2021-2_U50,経済工学の授業で、見かけの相関関係について勉強したことがあったので、よく理解できた。,特にありません。,特化型AIの進歩はめざましい。しかし、フレーム問題など様々な問題が山積している。,内容が大変興味深くなってきたので、楽しみだ。,
C-2021-2_U53,今日は、いつもの計算が難しい授業とは違って覚えることの多い授業でしたが、分かりやすいスライドのおかげで理解するのに苦しみませんでした。最後まで授業についていけました。,とくにありません。,今回は、さまざまなデータとデータ解析の基本、AIと機械学習について学びました。データ分析の基本は、予測、傾向や関連の発見、分類・グルーピングであることを知りました。データとは何かも学びました。,今回は計算とかではなく、覚えればいいことばかりだったので、理解することは出来ました。ただ、量がとても多かったので、覚えるが大変だなと思いました。,
C-2021-2_U54,スーパーなどではバスケット解析によって売り上げを上げようとしていることが分かった。グルーピングによってもデータの分析ができると分かった。機械学習の仕組み（データによって関数の形をいじる）が分かった。,,バスケット解析やグルーピングによってデータの分析ができる。また、特定のことしかできない特化型AIに対して、人間のような柔軟さがある汎用AIがある。ネットの広告なども、閲覧したページなどからAIが解析している。,バスケット解析はコンビニのレジで客の年齢や性別を入力しているのと似たようなことなのかなと思いました。それによって売り場の配置を変えるのはとても効率的だなと思いました。特化型AIと汎用AIの話を聞いて、よく宣伝されている学習能力があるAIが思い浮かびました。よくよく考えるとそれは特化型AIでただ単純にデータに基づいて対応しているだけだなと気づきました。ドラえもんのような汎用AIがいつかできたらどのような世界になるのかなと思いました。,
C-2021-2_U55,人工知能や機械学習の基本的な概念やその例を知ることができた。,しっかり復習したい。,,自分の興味のある分野なのでとても楽しい。概念やその例だけでなくもっと手法について詳しく知りたいと思った。,
C-2021-2_U56,データ解析は答えが明確に決まっていないことが分かった。数学は高校数学のように必ず答えが決まっているわけではないことに気づいた。AIは万能であるというようなイメージを持っていたが、欠陥だらけであるということも知れた。,特にありません,予測モデルができると、過去になかった状況に対しても予測可能になる。発見のための代表的手法として、相関分析、頻出パターン発見がある。相関には正の相関・負の相関・無相関がある。頻出パターン発見にはバスケット解析がある。相関と因果関係は違う。因果関係はこういう原因だから、こういう結果になった、というもの。グルーピングはデータをいくつかのグループに分けることである。似たデータが同じグループになるようにすることで、自動的にグループを構成することをクラスタリングという。似ている具合の測り方について、数学的にこうしなさいとは決まっていない。最適化とはなるべく良い決定をしたり選択をしたりすることである。最適化の三要素として、制御変数、目的関数、制約条件がある。人工知能は人間の知能をまねする機械である。特化型AIは特定の知能だけを人工的に実現したAIである。現在利用されているすべてのAIは、特定型AIである。特化型AIは何かを考えるような知能ではない。汎用AIは我々の知能と同じ柔軟さと多機能生を持つ強いAIである。しかし、どんなAIが強いAIなのかも定義できていないのが実情である。実現するための一つの方法は全脳シミュレーションである。AIはシェアリングエコノミー、広告などのビジネスにも利用されている。デジタルトランスフォーメーションとはAIを含む様々な情報処理技術によりビジネスや様々な組織の効率を向上させることである。機械学習では例をたくさん用意し、その通り出力するように、AIを調節する必要がある。AIとは、関数である。AI用の関数にもパラメータがあって、それをいじると形がいろいろ変わる。深層ニューラルネットワークとは最近主流のAIであり、大量データ学習によって、非常に高性能なAIを実現する。AIでは人間だと絶対起こさないような誤りを起こす。敵対的事例が存在する、フレーム問題、判断根拠が不明確などの問題がある。,,特にありません
C-2021-2_U57,データは活用して（分析して）初めて意味のあるものだということが分かった。どので分析するのが最適かを考えるのがデータサイエンスという分野である。,聞いて、わからなかった箇所は特になかった。,この世の中には様々なデータがあふれており、その種類によって使える手法が大きく異なる。現在様々な分野でデータ分析の重要性が高まっている。データの分析の目的（タスク）は予測、発見、グルーピングである。これらはパソコン上だけの話ではなく、日常的に私たちの頭の中で行われていることでもある。今はそれをAIで行う時代になってきている。,いよいよデータサイエンスと呼ばれる分野に入ったので今まで以上にわくわくした気持ちで授業に臨むことができて、授業中・授業後の感触もなかなかいいものだった。今回の気持ちを忘れず、次回以降も望みたいと思った。,
C-2021-2_U58,"相関関係は必ずしも因果関係と結びつくわけではない。
特化型AIは今やさまざまな分野で必要とされる技術であり、ある分野限定ではあるが人間の能力を凌駕しているものもある。",深層ニューラルネットワークの例で、画像にパラメータを用いて、どうしてそれが何の画像か判別できるのかがわからなかった。,"データ分析には予測、発見、分類がある。
なかでもパターンを発見するためによく使われるのが相関分析だ。しかし、相関分析で相関が見つかったからと言って両者に因果関係があるとは限らないし、見かけだけ関係しているように見える疑似相関に注意しなければならない。
また、データの分類で使われる手法としてクラスタリングがある。似たものをグループ化して分析するのはとても便利だが、クラスターの決め方は多種多様である。
人工知能は我々人間の知能を真似した機械だが、現在私たちの知能のようなあらゆる働きを真似できるAIは開発できていない。
だが、ある一点に特化した特化型AIはビジネスや日常生活、インターネットでよく使われており、今やなくてはならないものだ。",,
C-2021-2_U59,人工知能の現状や問題点を知ることができた。,クラスタリングについての説明。,我々の日常の中でも見かけることの多い人工知能は、「特化型AI」でありAIを用いた様々なビジネスも行われてきている。その一方で、まだAIには様々な問題点も残っている。,,
C-2021-2_U6,AIと呼ばれるものにも特化型と汎用の2つがあることを知った。現在の技術では汎用AIを作るのにはまだまだ届かないということも知ることが出来た。,特にないが、脳を再現しようとする試みでなぜ汎用AIが作れないのかがわからなかった。,"データの分析やグルーピング、クラスタリングによって発見があったり、相関を見ることが出来る。ただし相関には疑似相関や単純に相関をみてはいけないデータもある。
AIは人間の脳を模したものである。しかし、すべてを真似する汎用AIは難しい。よって特化型AIを開発している。ただ、これは答えを出せるが考えているわけではない。
",難しいと感じる部分が少なかったため、今回は1回で理解することが出来た。,
C-2021-2_U60,データ分析の詳細、AIの脆弱性,AIと関数とを同一的に見る理由が分からなかった。,"発見とは、大規模なデータから傾向を見つけることを指し、相関分析などが例として挙げられる。
相関分析をする上で注意すべきは、第3の要素により、相関関係であるように見える擬似相関や、
相関関係は因果関係を包含しているものの、どちらが原因・結果か、さらに本当に因果関係なのかが分からない点である。
グルーピングとは、データを複数のグループに分けることを指す。
もし、グループが決まっていれば「組み合わせ」や「階層化」が可能であり、グループが決まっていなくても、クラスタリングを行うことで、グルーピングが可能である。
しかし、クラスタリングはあくまで「似ているデータを同じグループにする」方法であり、絶対的な正解は存在しない。
つまり、クラスタリングをした結果は人それぞれ異なるのが当たり前なのだ。

人工知能(AI)とは、人間の知能をまねするために作り出された機械である。ただし、現段階では人間が持つ様々な知能のうち、ある特定の知能だけしか再現できず、汎用性のない、特化型AIのみである。
その特化型AIも「何かを考える」AIではなく、「ルールに従って回答する」AIであるため、人間の知能を完全に再現しているとは言えない。
そんなAIでも、予測や最適配分、検知に適しているため、ビジネス的に使われることも多い。
AI[は初めから賢いわけではなく、機械学習によって、予測、認識・分類、生成などが出来るようになる。
また、現段階でのAIは過去の傾向を入力することで、未来の値を出力するため、AIは関数と似通った性質を持つ。
それを踏まえて、機械学習とは、関数を望ましい形に変えるためのものなので、関数内の定数、すなわちパラメータを変更することと表せる。
最近のAIは関数による入力と出力とを何度も繰り返して答えを出力するものである。このようなAIを深層ニューラルネットワークと呼ぶ。
これにより、AIのパラメータが膨大になり、複雑な問題でも扱えたり、コンピュータそのもののパワーアップにより、大規模なデータの入手や深層ニューラルネットワークの学習が容易になったりした。
しかし、汎用AIの開発が現段階ではできていないだけでなく、特化型AIでも、敵対的事例(ノイズなどにより、人間だと起こさないような誤りを起こすこと)や
フレーム問題(特定の範囲の問題にしか「考えが及ばない」こと)、AIの判断根拠が不明確であることが問題として挙がっている。",日誌の内容がやっと提出期限に追いついたので、復習などにも手を出していきたい。,
C-2021-2_U63,,深層ニューラルネットワーク,,,
C-2021-2_U64,データ分析には、予測、傾向や関連の発見、グルーピングなどがあることがわかった。コンピュータも、我々人間と同様に、機械学習をしていることがわかった。また、機械学習をするにはデータが必要不可欠であり、多種多様なデータを読み込むことで成長していくことを知った。AIが劇的に発展した大きな要因に、無料で誰でもAIの研究ができるようになったオープン戦略が挙げられることがわかった。しかし、AIにはできないことがまだたくさんあることを知った。,特にありません。,今回の講義では、データ分析の基本とAIについて学んだ。データ分析にも様々な種類があり、それぞれのデータに適した分析方法を選択する必要がある。また、AIには特化型AIというものがあり、現在利用されているのは全て特化型AIである。AIが近年急激に発達したのは、深層ニューラルネットワークの利用、非常に大規模なデータが手に入るようになったこと、コンピュータのパワーアップのおかげである。このように、AIは急成長し、日常生活の様々な側面において応用されているが、その発展は未熟であり課題点が多くあることを知った。,今回の講義では、かなり発達しているものだと思っていたAIについて、まだまだ足りない部分がたくさんあることを知って、とても興味深かった。また、自分も無意識にデータ分析をしていることに気づいたので、今後は意識的にしてみようと思った。,特にありません。
C-2021-2_U65,データ分析は、実は誰でもやっていて、現実でも役立つものであるということ,特にありません。,"データ分析にはおもに３つのタスクがある。
・グルーピング
・予測
・発見

相関があるということと因果関係があるということは違う。

最近のAI→深層シュミレーション",事象を分析することの難しさと、その有用さを感じた。,特にありません。
C-2021-2_U66,現在開発されている人工知能は特化型AIであり、より人間に近い汎用AIの開発はまだであること、人工知能は私たち人間と同じように学習することで賢くなっていること、現在のAIの発展や課題について分かった。,,人工知能が身の回りのどのようなところでどんなふうに活躍しているのか、人工知能の発展やそれに寄与した技術。そして現在の人工知能の課題について。,人工知能が本物の人間のようになるには、まだ解明できていない人間の脳の仕組みなどを解明する必要があると感じたためもう少し先のことかなと思いました。また付録の「敵対的生成ネットワーク；高精度すぎて社会問題も起こしている」というのはニュースでも取りあげられていますが、技術的に改善すべき課題以外にも人工知能が抱える課題は山積みだと感じました。,
C-2021-2_U67,,,,予習を行って受けると前もって自分の持っていた知識に加えて理解できていなかったところも分かるようになるためすごくためになった。,
C-2021-2_U68,AIの性能はデータの量が多いほどよくなるため、近年では大規模なデータが手に入ったことにより性能が向上したということが分かった。,特にありません。,二つの変量を比較することで相関関係を見ることができる。ここで、身長とテストの点数の相関のように、一見すると因果関係がみられるが、実は学年という要因により直接的な因果関係がないもののことを疑似相関という。,コンピュータが行うシミュレーションによる最適化は実は人間も無意識にやっているという話が面白かった。,特にありません。
C-2021-2_U69,,,,今回の講義ではAIについて学び、万能であるように思われるAIも欠点がまだまだ存在し、これから解決していかなければならない課題が多くあるとわかり、これからまだまだ発展していく分野なのだと感じた。,
C-2021-2_U71,現代技術のAIで可能不可能なこと、そしてこれから先の未来で可能になるであろうことが分かりました,,現代のAIで可能な事不可能な事、そしてその技術的な解説,,
C-2021-2_U73,AIがじつは身近なものであるということ,,AIはシェアリングエコノミーなどでも活用されているが特化型AIにはまだもんだいがある。,AIの活用事例を知ることでより身近に感じることができたし、またこれからの社会で生きていくためにはAIは切っても切れない存在になるであろうから、それについての知識をある程度持っていないといけないと思った。,
C-2021-2_U74,AIの発展していく過程と僕たちの脳の学習というのは機械学習とデータを駆使することでどんどん賢くなっていくことが分かった。,,現在のAIの分析,現在のAIは映画などのAIと比べたらまだまだ劣っていてその段階まで行くにはこれからもっと成長しなければならないと思ったが、映画のように賢くなりすぎないでほしいとも思った。,
C-2021-2_U75,AIにはどのような種類があるか、私たちの身の回りにあるAIの具体例、AIを使ったビジネスやAIの問題点などさまざまなAIに関することを知ることができました。AIによる学習も人間による学習と全く異なるものではないことが分かりました。,敵対的生成ネットワークがあまりよく分からなかったです。,"データ分析の基本は予測、傾向や関連の発見、分類・グルーピングである。傾向や関連を発見する方法として、相関分析がある。見かけ上相関があるように見える擬似相関や、相関と因果関係は異なることに気を付ける必要がある。分類・グルーピングはデータをいくつかのグループに分けることであり、グループがあらかじめ決まっていない場合は似たデータが同じグループになるように構成するクラスタリングが行われる。
AIは人間の知能を真似する機械である。AIには特化型AIや汎用AIなどがある。AIを使ったビジネスには、シェアリングエコノミーやリコメンド、サーベイランス、デジタルトランスフォーメーションなどがある。AIによる学習を機械学習という。機械学習により予測、データの認識・分類、生成などが可能になる。AIは関数のようなものである。最近主流のAIは深層ニューラルネットワークである。現在のAIは敵対的事例やフレーム問題があったり、判断根拠が不明確であるため、あまり万能ではない。",AIについてさまざまな知識を得られたのでよかったです。AIの発達につれて人間の仕事がなくなるのではないかという話を聞いたことがあったので、AIが人間にとって代わるのはまだ難しいと知って少し安心しました。もっとAIについて知って、AIの良い面をうまく利用できるようになりたいです。,
C-2021-2_U76,データに関する考え方と、AIがどのように私たちの周りで機能しているかが分かった。またAIが人間にとって代わるような存在であると思っていたため、そのようなことには現段階ではまだまだ至らないというのを知ることができてよかった。,一番最初にAIを開発した人はどのように啓発したのか気になりました。,"データの分析では予測、（傾向や関連の）発見、分類・グルーピングという三つのタスクが必要になる。これらは極めて身近なものであり私たちは日々データを分析しながら生活をしている。予測モデルができることによって未知の事柄が起こったとしてもある程度対応することができる。考えることができるモデルは様々であり、同じモデルでもあてはめ方は多数存在している。しかし、過去のデータを十分に集めることができなかったり、要因が分からなかったり、時間的状況が異なる場合には予測が困難なこともある。
発見とは大規模なデータの中に潜む傾向を見つける方法のことである。
これの指標として相関があり、傾向に強さがあるのと同様に相関には強さがある。この時には、疑似相関についても注意することが求められる。また、相関と因果関係は異なることもあることにも配慮すべきである。
グルーピングとは、データをいくつかのグループに分けることをいう。こうすることによってデータ全体の把握が容易にできる。
似たデータを同じグループに分けることをクラスタリングという。しかしデータが似ているというのを実際に説明するのは難しいことである。また、クラスタリングには絶対的な正解が存在していない。
AIとは人間の知能の真似をする機械のことを言い、人間の脳が行うあらゆることを一つのAIが行うのは難しいことから
現在では画像認識AIや対話AIという特定のことだけをする特化型AIが広く活用されている。人間ほどの柔軟さをもつ汎用AIはまだ検討段階にいる。AIの技術を広く活用することによって、あらゆるビジネスが展開されている。AIを教育することを機会学習と言い、人間の学習の要領と似たものがある。現在のAIはまだまだ万能なものではなく、ノイズの混じった情報だと人間では絶対に起こさないようなミスを起こしたり特定の問題にしか考えが及ばなかったりするなどという問題点がある。
","今回の授業では、より自分の生活に密接したことをがky州することができて、とても興味深かったです。
なかでも「似ている」ということを説明するのは難しいという話が、今まで考えたことが無かったのでとても印象に残りました。
",
C-2021-2_U78,データ分析の必要性や、データ分析の主なタスクを知れた。,クラスタリングの考えが少しわからなかった。,データとは、物事の推論の基礎となる事実である。またデータは、量的データ、質的データ、などがある。,データについて注目して考えたことは少なかったので、よく知れて良かった。,
C-2021-2_U79,AIには特化型AIと汎用AIという2種類があり、まだまだ万能ではないことが分かりました。,深層ニュートラルネットワークの仕組みが少し難しかった。,データ分析の基本である、傾向や関連の発見、分類について学んだあと、人工知能がどういったものか、人工知能も学習していることについて学んだ。,人工知能が学習する仕組みや深層ニュートラルネットワークについての話が興味深かったです。,特にありません。
C-2021-2_U8,今回の授業ではAIについて学ぶことができた。AIが将棋や囲碁で人間の名人にも勝利したという話は聞いたことがあったため、AIは万能なものだろうと思い込んでいた。しかし、今回の授業を聞き確かにAIは学習したことに対しては優秀であるかもしれないが、臨機応変さや柔軟性という面では、人間に及ばないのだということを知ることができた。,深層ニューラルネットワークの様々な数をかけたり、足したりすることを何回も繰り返すことで最終的な答えが出てくるということが想像しづらかった。,"　データ分析の基本に傾向や関連の発見というものがある。発見とは大規模なデータの中に潜む傾向を見つける方法である。発見のための代表的手段としては相関分析、頻出パターン発見がある。まずは相関分析である。「Aが増えればBも増える」というような傾向があるとき「AとBは相関する」という。相関には強さがあり、傾向が強いとき相関が強い、傾向が弱いとき相関が弱い。相関を考える際は、見かけ上の壮観である疑似相関に気を付けなければならない。また、相関と因果関係の違いにも気を付ける必要がある。頻出パターン発見にはバスケット解析があり、これはアンケート結果の分析にも応用可能である。データ分析の基本、次は分類・グルーピングである。グルーピングとはデータをいくつかのグループに分けることである。グループがあらかじめ決まっている場合は、組み合わせや階層化も可能であり、グループがあらかじめ決まっていない場合は似たデータが同じグループになるようにクラスタリングし、自動的にグループを構成する。クラスタリングの結果から、データ全体の多様性、各クラスタの勢力、代表例から全体の概観がわかる。しかし一方で、データが似ているということの定義がはっきりしないということがある。また、クラスタリングには絶対的な正解が存在しないことが多いということもクラスタリングの欠点である。
人工知能（AI）とは、人間の知能を真似する機会である。人間の知能は、予測や発見、パターン認識をおこなったり、数学の問題を解いたり、会話をしたりと様々なことをおこなっている。AIの中でも特定の知能だけを人工的に実現したものを特化型AIという。しかし、そのAIは言い方を変えると特定のことしかできないということである。このAIは何かを考えるような知能ではないため、弱いAIとも呼ばれている。現在利用されているすべてのAIは特化型AIである。汎用AIは人間を同様の柔軟さと多機能性を有しており、強いAI とも呼ばれる。しかしこれはまだ検討段階である。実現するための一つの方法として「全能シュミレーション」がある。私たちの身の回りにも人工知能がある。その例として挙げられるのがSiriやチャットボット、顔認識、画像認識、医療診断、推薦・広告配信といったものである。ゲームと人工知能の歴史としてはクイズ番組、コンピューター将棋・囲碁などで人工知能が人間に勝利している。AIを活用したビジネスとしてはシェアリングエコノミーや商品の推薦、顧客監視、デジタルインフォメーションがあげられる。人工知能を作るために機械学習が行われる。機械学習ではAIに対し例を多数用意し、その通り出力させるようにする（教師あり機械学習）。機械学習により、予測、認識・分類、生成等が可能になる。機械学習のときに用いるデータは十分な量で似通っていないということが重要である。AIとは関数であるため、機械学習はデータによって関数を望ましい形にするということとなる。関数の係数のようなものをパラメータという。最近主流のAIは深層ニューラルネットワークであり、様々な課題に利用できる。深層ネットワークが最近劇的に向上した理由としては、深層ネットワークの利用や大規模データ、コンピュータの性能があげられる。また、前述の理由をさらに加速させるオープン戦略というものもある。しかし、現在のAIは万能ではない。実現できているのは特化型のみ、十分なデータがなければ正しく動かないという問題がある。他にも、ノイズによる判別不可、特定の範囲のみに対する思考、判断根拠を見出すことの困難なども問題としてあげられる。",今回の授業では身近にあるAIなど想像がしやすい形で説明されていてわかりやす内容だったように感じた。しかし、今回は少し自分の予習が足りなかったと思うので、次回はもっと時間をかけて行いたい。,特にありません。
C-2021-2_U80,データの活用方法としてクラスタリングがあり、それがどういったものなのかが分かりました。また人工知能の問題として敵対事例の存在やフレーム問題、判断根拠が不明確であるということがあると分かりました。,特にありません。,発見について、相関や因果関係も含めて説明がありました。またグルーピングやクラスタリングについての説明もありました。さらに人工知能や特化型AI、汎用AI、社会でAIをどう活用するか、機械学習、深層ニューラルネットワーク、現在のAIの問題点についての説明がありました。,AIは関数のようなものであるという考え方が特に印象に残りました。これまでの生活の中でAIをそのように捉えるという視点には触れたことがなかったのですが、非常にわかりやすい考え方で、よりAIに対しての理解を深められたと思います。相関や因果関係については他の講義で一度勉強したこともあり、スムーズに理解できたので良かったです。,特にありません。
C-2021-2_U81,知能の定義、現在の人口知能発達の背景、主流について。学習とは何か、なにを期待できるか。,,人工知能もとい知能とは何かという問いから、現在のAI業界の主流、進展、弱点について学んだ。,これほど情報化や技術革新が進んでいるにもかかわらず意外にも『強いAI』はまだまだ先の話であることに驚いた。,
C-2021-2_U85,"データとは、物事の推論の基礎となる事実、参考となる資料･情報、また、コンピューターで、プログラムを使った処理の対象となる記号化･数字化された資料のことである。データは一般的に4つに分類することができ、量的データである比率データと間隔データ、質的データである順位データとカテゴリデータがある。データの分析とはデータから意味のある情報を引き出すことであり、適切な方法を用いなければ、意味のある情報は抽出できない。データ分析のタスクとして、予測、傾向や関連の発見、分類･グルーピングの3つがある。
人工知能は人間の知能をマネする機械である。特定の知能だけを人工的に実現した特化型ＡＩや我々の知能と同じ柔軟さと多機能性をもつ汎用ＡＩなどがある。最近主流なのは深層ニューラルネットワークであり、予測・認識・生成などさまざまな課題に利用できる。大量データと学習によって非常に高性能なAIを実現している。AIの性能が最近劇的に向上したのは、深層ニューラルネットワークの利用、非常に大規模なデータが手に入るようになったこと、コンピュータのパワーアップななどの要因がある。",,,AIはスマートフォンにも搭載されていたりするので、身近なテーマだった。AIはAIでもさまざまな種類があることを初めて知った。,
C-2021-2_U86,"疑似相関に注意しなければならないということが分かった。
",深層ニューラルネットワークのおおまかな動きが難しかった,データの相関について、また、AIについて,データの解析やAIについて知ることができて面白かった。,
C-2021-2_U88,相関分析についてと、相関と因果の違いを再整理することができた。クラスタリングの概要とその特徴を理解することができた。,特にありません。,相関分析、相関と因果の違い、グルーピング、クラスタリング、AIとは。,前期の授業で学習したプログラミング演習という講義に通ずるものがあり、面白かったです。,
C-2021-2_U89,機械学習とは、関数の形（パラメータ）を望ましい形にいじることだということが分かった。,深層ニューラルネットワークの仕組みについて、大雑把にしか分からなかった。,"　傾向や関連の発見のための代表的手法として、相関分析と、頻出パターン発見がある。相関分析では、見かけ上相関している疑似相関というものがあるので注意する。また、相関と因果関係は違うということにも気を付ける。分類・グルーピングでは、グループがあらかじめ決まっている場合と決まってない場合で手法が異なる。あらかじめ決まっている場合では、組み合わせや階層化などが挙げられ、決まってない場合では、自動的にグループを構成するクラスタリングがある。
　人工知能には、特化型AIと汎用型AIに分けられるが、現在は特化型AIしか存在しない。特化型AIは身近だと、画像認識や音声認識、ビジネス分野では、シェアリングエコノミー、サーベイランス、デジタルトランスフォーメーションなどといった形で活用されている。また、人工知能を作る際、機械学習（関数の形（パラメータ）を望ましい形にいじる）というものがあり、それによって、予測、認識・分類、生成を行うことができるようになる。機械学習をしたAIの中で、最近主流のものは深層ニューラルネットワークで、非常に高性能である。しかし、現在の敵対的事例の存在、フレーム問題、判断根拠が不明確などといった問題がある。",フレーム問題の話と、全脳シミュレーションの話が特に面白かった。自分が生きている間に、汎用型AIができるのかどうかは分からないが、どれくらい人工知能というものが進化し、私たちの生活が変化するのか、ますます楽しみになった講義だった。また、大学生のうちに人工知能について詳しく勉強したいと思った。,
