userid,1,2,3,4,5,6,7,8,target
C-2021-2_U164,"""Comparison of heapsort/mergesort and various sorting algorithms""",,,,"""I was under the impression that the amount of calculation would be the same no matter how I rearranged, but it was interesting that the amount of calculation changed greatly depending on the method, overturning my common sense.""",,,,-2
C-2021-2_U167,,,"""I was confused by too many calculations
・I do not understand the meaning of the first and second stages of heat sorting

""","""
・I do not understand the meaning of the first and second stages of heat sorting
""","""Compared to the previous classes, the explanation is 'move your hands'? The degree of understanding was low because there were many ways of being told. I would like to review it again because I have not solved the part I do not understand in my homework.
Binary search went too fast, so please explain from the beginning.
""",,,,-2
C-2021-2_U168,"""In today's class, we learned how to operate heapsort, mergesort, and binary search among sorting algorithms.""","""I learned how to do heapsort, mergesort, and binary search.""",,,"""Continuing from last time, there are many calculations related to the sorting algorithm, so there are parts that are difficult to understand, but I think I learned it.""",,,,-1
C-2021-2_U17,"""Binary tree sorting, heap sorting, which one is faster?
Merge sort (execution example, division), summary of sort, comparison count of comparison sort""","""I knew how to perform each sort very well.""","""It's still difficult to find the number of comparisons. I think it's even more difficult when O appears.""","""Are there other sorts?""","""There were a lot of difficult points, so I will spend some time reviewing them little by little.""",,,,-1
C-2021-2_U170,,,"""Expression by order notation""",,"""I'm glad I was able to understand the difference between heapsort and mergesort.""",,,,-2
C-2021-2_U174,"""Which method should be used according to the new method of sorting problem that rearranges the given numbers in ascending order and the size of the number n of numbers?""","""I learned how to do heapsort and mergesort using binary trees.""",,,"""I was able to learn a new method for sorting. I was surprised and amazed that heap sort was faster than naive sort when n was 28 or more. Also, heap sort and merge sort were faster than heap sort. I'm really excited to see if it's possible to sort information even faster. Personally, I hope it's possible.""",,,,-3
C-2021-2_U18,"""Heap sort is an algorithm that arranges the order like the root of a tree while taking into account two conditions, the number contained in each floor and the size of the parent and child numbers. Merge sort divides the given numbers into two sequences. It is an algorithm that extracts one from each, compares and arranges them.""","""I see two sorting mechanisms. I also see that the order notation is like a computational upper bound.""","""I didn't quite understand the log part of the order notation.""",,"""Even though there are various ways to arrange in ascending order, it is interesting that all of them take a lot of time and effort when done by humans, but when done by a computer, there is a big difference.""",,,,-1
C-2021-2_U19,"""There are also efficient sorts such as heap sort and merge sort.""","""I learned how heaps and mergesort work.""","""I didn't fully understand the math on the number of comparisons.""",,"""I completely forgot to write in my diary, so I want to write it sooner next time.""",,,,-2
C-2021-2_U20,"""Based on the previous bubble sort and heap sort, I learned about merge sort and other algorithms to compare.""",,,"""Stirling's Theorem...I think I've heard the name, but I don't know what it is.""",,,,,-2
C-2021-2_U21,"""For heapsort and mergesort, I learned the number of comparisons and their order notation.""","""I was able to understand how to do heapsort and mergesort by listening to explanations and actually using my hands.""",,,,,,,-3
C-2021-2_U23,,,"""The number of heapsort comparisons must not exceed 3nlogn.""",,,,,,-3
C-2021-2_U24,"""Heapsort and Mergesort, Limitations of Element Comparison""","""O(n log n) is the limit for element comparison""","""It was difficult to grasp the flow of heapsort""",,"""The formula seemed complicated and I was afraid to shy away from it, but after listening to the lecture, I was convinced.""",,,,-2
C-2021-2_U25,"""How heapsort and mergesort work.""","""Heapsort and how it works to compensate for the shortcomings of binary trees.""","""On Binary Search.""",,"""Next time, I want to prepare well so that I can understand everything in one shot.""",,,,-3
C-2021-2_U26,"""With a naive sort using a binary tree, the computation time changes depending on how the input sequence is arranged. Therefore, we consider a binary tree called a heap. A heap is a binary tree with n nodes and h height. home,
(1) Exactly 2^d nodes with depth d (0<=d<=h-1) exist, and nodes with depth h exist in order from the left
(2) any node's value is less than or equal to the value stored in its parent
It satisfies the following two conditions.
In heapsort using a heap, the number of comparisons does not exceed 3n*log2(n) when the size of the input sequence is n. So the order of heapsort is O(n*log(n)). That is, the larger n is, the fewer comparisons a heapsort will make than a naive sort on a binary tree.
Merge sort is an algorithm that sorts elements by O(n*log(n)) comparisons, similar to heap sort, and recursively repeats the operation of dividing, sorting, and integrating a sequence.
Heapsort and mergesort are the fastest comparison-based sorting algorithms.
""","""I was able to understand that heapsort and mergesort are the most efficient algorithms for comparing elements. I was also able to understand the procedure of heapsort.""","""Nothing in particular.""","""Nothing in particular.""","""I didn't really understand Heapsort at the preparatory stage, but I was able to understand it by listening to the lecture and actually using my hands. I want to concentrate on the next lecture.""",,,,-2
C-2021-2_U27,,,"""I don't quite understand the order notation.""",,"""It was good to realize that there are many types of sorting.""",,,,-3
C-2021-2_U28,,,,"""Nothing in particular.""",,,,,-1
C-2021-2_U29,"""How to read a binary tree
heap (node, etc.)
Merge sort algorithm
Introduction to Binary Search""","""Conditions for a tree to become a heap
O(nlogn) effectiveness in speed is found.
Some understanding of how mergesort works
""","""I didn't really understand why the number of heapsort comparisons did not exceed 3nlogn.
Overall, I didn't understand why the log appeared.""",,"""I learned sorting that compares elements, which is more difficult than last time (merge sort/selection sort), and I didn't quite understand where the log appeared, so I want to review and deepen my understanding. I'm looking forward to learning more about exploration.""",,,,-3
C-2021-2_U3,"""[heapsort]
Binary tree = rooted tree where each node has at most two children
Left if smaller, right if larger
Passing order: Read the contact value in the order of (left child, self, right child)

Disadvantage: Calculation time changes depending on input order.
　　　Assuming the size of the input string is n, the number of comparisons in the worst case is n(n-1)/2
Conditions that can be called a heap
(1) There are 2 to the power of 2 points of contact with depth d (0<=d<=h-1), and nodes with depth h exist in order from the left.
(2) Any node value is less than or equal to the value stored in its parent.

Heapsort comparison count
When the input sequence size is n, the number of heapsort comparisons does not exceed 3Nlog2N
The calculation time of heapsort is O(nlogn) time → the larger the number, the shorter the calculation time compared to other sorts.

[merge sort]
align elements with O(nlogn) comparisons
Merge: An operation that outputs an ordered sequence from two already ordered input sequences.
= Compare the two sequences from the beginning and store the smaller one in a new array.
Number of comparisons for merge operations
In order to merge a sequence A of size n1 and a sequence B of size n2, comparisons should be performed at most n1+n2-1 times.
Merge sort comparison count
If the size of the input sequence is n, then
・The total length of merge sort is always n
→Do not exceed the total number of comparisons of elements in each row, n
・The number of stages of merge sort is at most log2N
→The number of comparisons is at most Nlog2N

[Number of comparisons for comparison sorting algorithm]
・The solution candidates are narrowed down based on the results of comparing the two elements.
・It can be represented by a decision tree.
→ The order in which elements are compared = Algorithm
・The number of comparisons of the algorithm for the input sequence A is equal to the number of edges from the root of the decision tree to the leaf (solution for A)
The number of comparisons in the worst case is equal to the height of the decision tree.
　A minimum height of a binary tree with at least n leaves
""Increase in proportion to nlogn""","""I learned the heapsort and mergesort methods, and was able to sort them. Heapsort and mergesort take less time than bubble sort and selection sort to calculate a large number of numbers, and are more efficient. I also found that I can make good use of","""I still can't say that I fully understood the calculation formulas and ranges. I would like to take measures such as going back to lecture materials from earlier classes to review from the basics.""","""is not""","""Thank you for explaining the self-study, it was easy to understand and I was able to solve my doubts. Thank you very much.""",,,,-3
C-2021-2_U30,"""Understanding heapsort and mergesort with pre-ordered columns, which are advanced versions of binary trees""","""Principle of Heapsort, Mechanism of Mergesort""","""formula part""",,,,,,-1
C-2021-2_U31,"""I learned heapsort and mergesort algorithms.
Comparison sorting algorithms always require O(nlogn) comparisons. ""","""I understood the heapsort algorithm.
It turns out that mergesort can sort without using a binary tree.
It turns out that comparison-based sorting always requires O(nlogn) comparisons. ""","""I didn't quite understand why there is no algorithm that is more efficient than O(nlogn) for comparison-based sorting.
I didn't understand well about the number of comparisons in mergesort. """,,"""There was a more complex algorithm than last time, and it was difficult to understand.""",,,,-2
C-2021-2_U33,"""For more than 38 input sequences, heapsort is more efficient than binary tree. Mergesort is a simpler algorithm because it does not use binary trees.""","""We can now configure heapsort to have a large parent. We found that when the size of the input sequence is n, the number of heapsort comparisons does not exceed 3nlog2n.
Mergesort allows you to output a single sorted sequence from two already sorted input sequences. """,,,,,,,-2
C-2021-2_U34,,"""I was able to understand how heapsort and mergesort work.""",,,,,,,-1
C-2021-2_U36,"""Heapsort is an algorithm that uses a binary tree. First, the binary tree is constructed so that it always becomes a heap, and the numbers are arranged while deleting nodes one by one from the completed heap. Heapsort is an order of nlogn. , and is faster than the naive binary tree sort with fewer comparisons as n grows.Merge sort does not use a binary tree, but divides the sequence and then By recursively performing the operation of merging, we finally obtain an aligned number sequence. Merge sort can also be calculated in the order of nlogn and is simple because it does not use a binary tree.""","""By learning the heapsort and mergesort algorithms, I was able to learn how to sort simple sequences and how many comparisons to make by actually using my hands. Determining the order by comparing elements inevitably takes o(nlogn) time. I was able to understand what was required both numerically and conceptually.""","""I couldn't think of a way to determine the order other than doing element comparisons.""",,"""It was nice to learn new heapsort and mergesort algorithms. Mergesort is a fairly simple algorithm and I had no trouble understanding it.""",,,,-1
C-2021-2_U37,"""Heapsort and Mergesort""","""I learned about heapsort and mergesort""",,,"""I'm glad I was able to understand the lecture well""",,,,0
C-2021-2_U38,,,"""I understand what you mean with the explanation on page 30, but I don't understand the formula.""",,"""When thinking about the number of comparisons, the idea of ​​a decision tree as an application of binary trees came up again, and I realized the importance of binary trees.""",,,,-2
C-2021-2_U39,"""Today we learned about heap sort and merge sort. A heap is a binary tree with n nodes and h height that satisfies two conditions. The first condition is There are exactly d nodes of depth d, and nodes of depth h exist in order from the left. The second condition is that the value of any node must be smaller than its own parent.The first stage of heap sorting is binary while satisfying the conditions. Next, the second stage is to remove the nodes one by one from the heap completed from the first stage and add numbers, for example, the number at the top of a heap and replace it with the last number (bottom right).Here, the number at the top of the heap is the largest according to condition 2. By repeating this operation, heapsort can be performed.In addition, heapsort comparison The number of times does not exceed n in 3nlog2 when the size of the input sequence is n, because once per comparison with the parent in the first stage and twice per comparison left and right in the second stage. , because the height of the heap consisting of n nodes does not exceed n in Log2 (according to condition 1), so the time complexity of the heap is O(nLogn).Next, mergesort is heapsort The time complexity of mergesort is O(nLogn) like , and mergesort is simpler because it does not use a binary tree.The basic concept of merge is that two already aligned From the input sequence, the output is a sorted sequence, that is, a new sequence is obtained by comparing the two sequences from the beginning and selecting the smaller one.Also, the comparison of merge sort. The number of times is at most (adding the size of each sequence and subtracting 1), that is, A + B - 1. Also, if the input size is 2 to the nth power, you can always divide by 2, but the input If the size is not the nth power of 2, sort by using Gaussian notation to the smallest integer greater than half its size, for example, if the size is 5, half of it is 2.5, and 2.5 Since the smallest larger integer is 3, it can be sorted by dividing it into 3 and 2. Also, the sum of the lengths of the sequences divided in each stage of merge sort is always n, and the number of stages of merge sort is Since it is n of Log2 at most, the number of comparisons of merge sort is at most n (n of Log2). Also, any comparison sorting algorithm necessarily requires O(nLogn) comparisons. ""","""I learned about the alignment methods and time complexity of mergesort and heapsort, and also about the number of comparisons in comparison sorting algorithms.""","""is not.""","""is not.""",,,,,-1
C-2021-2_U40,"""There was an explanation of heap sort using a binary tree. There is a tree called a heap, and by performing a binary tree with conditions, it becomes a more efficient sort. A disadvantage of the binary tree is that it depends on the order. The number of comparisons varies and the computation time depends on the order, but heapsort compensates for this.We also learned about merge sort.Both of them keep the number of comparisons small by using logarithms. We also know that these comparison-based algorithms always require O(nlogn) comparisons.""","""I found mergesort to be very useful. I also found that on a comparative basis, I could never get below nlogn.""","""If it is a comparison-based algorithm, it is not clear which one is the most effective after all. I wondered if the small number of comparisons was the only evaluation criterion.""",,,,,,-1
C-2021-2_U41,"""In a binary tree with n nodes and height h, there are exactly 2 to the power of 2 (0 ≤ d ≤ h - 1) nodes with depth d, and nodes with depth h exist in order from the left. A heap is a binary tree in which the value of any node is less than or equal to the value stored in its parent.It is inconvenient that the depth of the binary tree formed by the arrangement of the input sequence changes, so the depth is the same. In order to create a heap, we perform the following two steps: First, in the first step, the value of any node is less than the value stored in its parent, If the conditions are not met, the parents and children are swapped, and so on until the conditions are met.In the second step, one node at a time is removed from the heap completed in the first step. First, take out the numbers from the root and sort them, delete the last added node and store the number of nodes in the root.Here, if the value of the child is greater than the value of the root, , exchanges the root value with the larger one of the right child and the left child, and continues to exchange until the magnitude relationship between the parent value and the child value is satisfied.In heap sorting, when the size of the input sequence is n, the comparison The number of iterations is 2nlog(2)n+nlog(2)n, not more than 3nlog(2)n (where (2) is the base), and the computational complexity of heapsort is O(nlogn) time. Comparing the worst number of comparisons between simple sorting using binary trees such as bubble sorting and selection sorting and heap sorting, it can be seen that heap sorting is superior at n=38.
There is an algorithm called mergesort, which is simpler than heapsort (because it does not use a binary tree) and aligns elements with O(nlogn) comparisons like heapsort. Merge sort divides the input sequence A into smaller sequences A1 and A2, and merges a1 and A2 after sorting to obtain the sorted result of A. Merge is an operation that outputs one aligned alignment from two already aligned input alignments, and it aligns by comparing the two sequences from the beginning and storing the smaller one in a new array. When merging sequences of size n1 and size n2, at most n1+n2-1 comparisons should be performed. This is because one element is always output when element comparison is performed once, the size of the finally output sequence is n1+n2, and the last remaining element has no comparison partner. By the way, the number of comparisons is (n1+n2-1) when the values ​​appear alternately from the smaller one in the two series. The way mergesort works is to recursively split the input sequence into two alignments, sort each one, and then merge the two sorted sequences. Note that the merge sort divides the sequence of size n into A[1...q] and A[q+1...n]. Here, let q=[n/2]. At this time, the sum of the lengths of the sequences divided in each stage of the merge sort is always n, the total number of comparisons of the elements in each stage does not exceed n, and the number of stages of the merge sort is at most [log(2 )n], the number of comparisons in merge sort is at most n[log(2)n]. In fact, any comparison-based sorting algorithm necessarily requires O(nlogn) comparisons. A binary tree for sorting is called a decision tree, and a comparison sorting algorithm can be represented by a decision tree. where the number of comparisons in the comparison sorting algorithm is at least n! is greater than or equal to the minimum height of a binary tree with leaves If the height of the decision tree is h, the number of leaves is at most 2 to the power of h, so (2 to the power of h)>n! /2)nlog(2)n, and it can be seen that the number of comparisons required for sorting increases in proportion to nlog(2)n. By the way, the nature of the comparison sorting algorithm is that it narrows down the candidate solutions by virtue of the comparison.
Information retrieval is the process of retrieving information that matches a purpose from a large amount of data. One way to speed up information retrieval is to pre-sort the data and then perform a secondary search.
Since we want to check whether an integer is included in a set (integer search problem), the input is an integer set S and an integer x, and the output is yes if x is included in S, and if x is not included in S Think as no (integer search problem). When S is not aligned, we search for x from the beginning (left end) (linear search), and in the worst case we have to compare elements n times, and the time complexity of linear search is O(n). Become. This is too much computation, so we search for x in the following way. (Binary search)
When S is aligned, the middle elements y and x are compared, and when y is greater than x, the first half of y is compared, and when y is less than x, the second half of y is compared with the middle value, and y= Repeat until x. ""","""Heap sort is more efficient than the bubble sort, selection sort, or naive sort using a binary tree that we studied earlier, when n exceeds 38. We also found that comparison sort-based sorting algorithms have an order of magnitude less time complexity than bubble sort and selection sort.""","""In my discussion of the total number of comparisons in heapsort, I didn't understand why the first stage would result in a total of n-1 comparisons.""","""Nothing in particular.""","""There are still some parts I'm not quite satisfied with (the parts marked with a yellow marker), so I thought I'd review them so that I would be able to understand them properly.""",,,,-1
C-2021-2_U42,"""In addition to bubble sort and selection sort, there are heap sort and merge sort as types of sort, and the computational complexity of kernel sort algorithms is O(n log n) and O(n^2), respectively.""","""When the size of the input sequence is n, the number of comparisons in heapsort does not exceed 3nlog2(n), and the height of the heap consisting of n nodes does not exceed log2(n). Merge sort is It is an operation that outputs an aligned sequence from two already aligned input sequences.To merge sequence A of size n1 and sequence B of size n2, it takes at most n1+n2-1 operations. you can do it.""",,,"""Continuing from the last time, it was interesting to learn about the sorting performed by the computer. I learned that there are various algorithms, so I would like to be able to decide for myself which sorting should be used in which situation. .""",,,,-1
C-2021-2_U43,"""A disadvantage of sorting using a binary tree is that the calculation time varies depending on how the input sequence is arranged. A binary tree with n nodes and height h is 1. Nodes with depth d are exactly 2^d A tree is called a heap when it satisfies the following two conditions: 2. The value of any node is less than or equal to the value stored in its parent. The sorting performed by going through the first stage and the second stage so as to satisfy is called heapsort.The number of comparisons in heapsort does not exceed 3nlog2n, and the computational complexity is O(nlogn). It can be seen that the calculation becomes faster.
Merging is an operation that outputs one sequence that has been sorted from two already sorted input sequences, and the computational complexity is also O(nlogn).
Therefore, sorting by element comparison always takes O(nlogn). ""","""I was able to learn about heap sort and merge sort. I found that the computational complexity is always O(nlogn) if it is a method that compares elements.""",,,"""The heapsort method seemed difficult. I wanted to be able to do it myself.""",,,,-1
C-2021-2_U44,"""Heap sorting is the sorting of numbers using a binary tree that satisfies the conditions for a heap. As the number of input numbers increases, the calculation time is shorter using heap sorting than simple binary tree sorting. The process of outputting one sorted sequence from two sorted input sequences is called merge sort. Merge sort is simpler than heap sort because it does not use binary trees.""",,"""When I heard the explanation, I felt that binary tree sorting had fewer steps than heap sorting and was simpler, so I wondered if heap sorting could actually complete calculations faster when the numbers were huge.""",,"""It was interesting to have various sorting methods such as heap sort and merge sort.""",,,,-1
C-2021-2_U46,,,,,"""It's a lot of work for humans to do, but sorting is very interesting for computers because it's an efficient method.""",,,,-3
C-2021-2_U48,"""To put it simply, heap sort is a binary tree that is filled from the top so that the child is not larger than the parent. If the computational complexity of heap sort is expressed in order notation, bubble sort and selection sort. Faster for longer inputs than mergesort.Mergesort is simpler because it does not use a binary tree.Mergesort divides the sequence and then merges it.Mergesort is ordered. Notationally, it's the same as heapsort.No comparison sorting algorithm is faster than O(nlog n).""","""I now know what heapsort is. I also know what mergesort is. The worst-case complexity is the same for heapsort and mergesort, but mergesort is the simpler sorting method. If the input is It turns out that long ones are more efficient to use heap sort and merge sort, and shorter ones are more efficient to use naive sort, bubble sort or selection sort.""",,,"""I'm glad that I was able to understand what kind of things sorting is actually used for. Next time, I think it will be about searching, so I'm looking forward to knowing how sorting is actually used.""",,,,-3
C-2021-2_U5,"""There are many types of algorithms, such as heap sort, which builds a kind of binary tree called heap structure and sorts, bubble sort, which compares and exchanges adjacent elements in order from the end, and data string There is merge software that divides into small pieces and merges them gradually while arranging them.""","""I understood the mechanism of the binary search method and was able to put it into practice.""","""Mechanism of calculating sigma in heapsort and mergesort.""",,"""A lot of seemingly difficult algorithms came out, but I'm glad I understood their purpose. It seems that the binary search method can be applied to find arbitrary books on library bookshelves, so I'd like to put it into practice.""",,,,-3
C-2021-2_U50,,,"""Nothing in particular.""",,,,,,-3
C-2021-2_U51,"""Learn about heapsort and mergesort
""","""I figured out how to sort and extract heapsort.""","""I had no idea how to order without using element comparison""",,"""It was easy to understand because it was illustrated and explained.""",,,,-2
C-2021-2_U53,"""Today, I learned about sorting using binary trees, heap sorting, merge sorting, etc. I was able to learn new algorithms.""","""When creating a heapsort, I thought that the operation to replace the parent and satisfy the conditions was similar to the bubble sort that I had learned before, and it was interesting to learn and realize that everything is connected. Merge sort was very simple and easy to understand.""","""You can see an example of sorting using a binary tree, but when it came to making it myself, there were parts that I didn't quite understand no matter how many times I tried it, and it was difficult.""","""I often see the logarithm log when comparing ranks, but I wonder why log is so closely related to sorting. Is there a reason?""","""In today's class, we also learned about algorithms. I think I've finally gotten used to algorithms around this time. However, I had a hard time understanding the heapsort that I learned this time. I hope to be able to understand it by the next time. I thought.""",,,,-3
C-2021-2_U54,"""In heapsort, the number of comparisons is reduced because the last digit cannot be compared. In mergesort, it is already sorted, so we only need to merge. The number of comparisons in the worst case of the algorithm is equal to the height of the decision tree. .""","""I wasn't able to do much of the report assignment, but after listening to the explanation, I understood. I learned how to do heapsort, especially when condition 2 is not met.""","""I didn't understand why the number of comparisons showed log.""",,"""I was disappointed that I made a mistake in the last quiz, but this time I got a perfect score, so I want to do my best next time. I learned a lot of different sorting algorithms, so I learned how to do each one, the number of comparisons, and the order. I'm going to review. The content of the class is getting harder and harder, so I'm going to do my best to prepare and review more than before.""",,,,-1
C-2021-2_U55,"""Some of the algorithms use binary tree sorting. The sorting reads in passing order, but the calculation time varies depending on the arrangement of the input sequence. A binary tree of height h has exactly 2^d nodes of depth d, and nodes of depth h exist in order from left to right, and any node value is less than or equal to the value stored in its parent value A tree that satisfies the two conditions is called a heap. Merge sort is a sort that performs an operation to output one sequence that has been sorted from two input sequences that have already been sorted.""","""I learned how to define heapsort and mergesort.""","""I haven't learned how to do it yet, so I want to review it.""",,"""Now that I know how to do heapsort and mergesort, I want to try it myself and practice using my hands.""",,,,-1
C-2021-2_U56,"""A binary tree is a rooted tree where each node has at most two children. Traversing order is reading the values ​​of a node in the order left child, self, right child. If the target node has children, read the left child first, then its own value, then the right child, in walking order.Disadvantages of naive sorting using a binary tree is that the computation time changes depending on how the input sequence is arranged.When the size of the input sequence is n, the number of comparisons in heapsort does not exceed 3log₂n.Since the merge sort algorithm does not use a binary tree, it is simpler Merge is the operation of outputting one sorted sequence from two already sorted input sequences.To merge sequence A of size n₁ and sequence B of size n₂, at most n₁＋n₂－1 Assuming that the size of the input sequence is n, the sum of the lengths of the divided sequences at each stage of the merge sort is always n. The total number of times does not exceed n.The number of stages in merge sort is at most log₂n, so the number of comparisons in merge sort is at most nlog₂n.The comparison-based sorting algorithm narrows down the lower candidates according to the comparison result of two elements. Therefore, any comparison-based sorting algorithm always requires O(nlogn) comparisons.One way to speed up information retrieval is to pre-sort the data and then perform a binary search. If the elements of s are not aligned, searching for x from the beginning is called linear search.""","""I was able to learn about the mechanisms of binary trees and heapsorts, which I didn't know last time.""",,,,,,,-2
C-2021-2_U57,"""In today's lecture, we mainly learned about heapsort and mergesort. Both of these are algorithms that align elements in O(n log n) comparisons, while heapsort uses a binary tree. Mergesort doesn't make use of it, so it's simpler.""","""By studying heapsort and mergesort, I was able to understand the contrast between heapsort that uses binary trees and mergesort that does not use binary trees. Mergesort is also superior in the number of comparisons in the worst case. I also understand that.""","""When I listened to this lecture, it sounded like heapsort had no advantage over mergesort. I didn't understand where heapsort was superior.""",,"""Until now, there were bits and pieces of stuff I knew, but now it's full of things I've never seen before. I've been preparing for lessons, but there are parts that I can't grasp with just that, so I want to review them properly. thought.""",,,,-2
C-2021-2_U58,"""Heapsort uses a binary tree, but the calculation time changes depending on how it is arranged.
Merging is to compare the size of the heads of two number sequences that have already been arranged and rearrange them into one number sequence.
Sorting is used in search engines, where binary search is used. ""","""I understood how to use the order notation and the basic concept.
I found out how to use sort specifically. ""","""The heap definition was confusing.""",,"""I thought sort was used in unexpectedly familiar places.
""",,,,-1
C-2021-2_U59,,,,,"""I had heard of bubblesort, but never heard of heapsort or mergesort, so I was able to learn about new algorithms.""",,,,-2
C-2021-2_U6,"""Binary tree sorting sorts small items on the left and large items on the right, so the number of comparisons varies greatly depending on the item. Heap sorting creates a binary tree while sorting in descending order for the time being, so the number of comparisons is reduced. It is fixed to some extent and the maximum number of times does not increase too much. Merge sort is convenient because the program is simple and the number of comparisons does not become too large.""","""I understand why you don't use only one method for sorting. I understand the importance of thinking about sorting according to the usage and the amount of data.""","""The explanation of the number of comparisons in the comparison sorting algorithm was so complicated that I couldn't quite understand it.""",,"""During class, I couldn't understand and was left behind, but after watching the class video, I was able to understand.",,,,-2
C-2021-2_U60,"""Binary trees can be used for sorting by placing values ​​smaller than the parent on the node to the left of the parent and values ​​larger than the parent on the node to the right of the parent, and reading them in passing order.
However, even if a simple binary tree is used, the computation time will vary depending on how the input sequence is arranged, but the computation time can be shortened by using a tree called a heap.
A heap is a tree in which the deepest leaf node is left to right, and the other leaf nodes at depth d are 2^d, and the value of the child is always less than or equal to the value of the parent.
Based on this, the method of sorting while exchanging the nodes of the binary tree and replacing the last number with the root is called heap sort.
Between the former method and the latter method, the more the number of terms in the input sequence, the shorter the calculation time for the latter.
Also, a sorting method that divides the input number sequence into one element and then merges them (outputting one number sequence from two already sorted number sequences) is called merge sort.
Like heapsort, mergesort is a method that can sort by O(nlogn) comparisons, but it is simpler than heapsort because it does not use a binary tree.
By the way, comparison sorting algorithms always require O(nlogn) comparisons, and mergesort and heapsort are the most efficient comparison sorting algorithms. ""","""Understanding Heapsort and Mergesort""","""Computing the number of comparisons for heapsort and mergesort""",,"""I'm late writing the journal again. I'll try to write the journal on the day I have classes as much as possible.""",,,,0
C-2021-2_U63,,,,,"""Every time I learn a new kind of sort, I'm a little impressed to see the effort for simplification.""",,,,-3
C-2021-2_U64,"""In this class, we learned about heap sort and merge sort. We also learned about the number of comparisons for each. We also learned how to use the merge sort algorithm. Finally, we learned about bubble sort, selection sort, I learned about the number of comparisons in the worst case of sorting using binary trees, heap sorting, and merge sorting, and the order notation of the number of comparisons.""","""I was able to gain some understanding of sorting using binary trees. I also learned that merging is the operation of outputting an ordered sequence from two already-ordered input sequences. Heapsort Both mergesort and mergesort have the same number of comparisons, but mergesort turns out to be simpler than heapsort because it does not use a binary tree.""","""In this class, I noticed that I didn't have a deep understanding of the number of comparisons and the amount of calculation for each sort. I was able to understand the merge sort algorithm somewhat, but when it came to generalization, I felt that the formula was difficult.""","""Nothing in particular.""","""In addition to the previous bubble sort and heap sort, I learned about the details of heap sort and merge sort, but I haven't reached the point where I can distinguish between them yet. I want to be able to.""",,,,-2
C-2021-2_U65,"""Binary tree = rooted tree where each node has at most two children
↑ reads node values ​​in the order of left, self, and right (passing order) → Left priority
Calculation time varies depending on how the input sequence is arranged

Heap = There are many parts that are divided from the left, and the number is smaller at the bottom

When the size of the input sequence is n, the comparison rank of heapsort does not exceed 3nlog^2n
・Compare with parent → once
・Compare left and right → twice
n the height of the heap consisting of this node does not exceed log₂n
Heapsort nlogn time
binary tree sort n^2 time
Bubble sort, selection sort n^2 hours


merge sort algorithm
= Algorithm that sorts elements with nlogn comparisons, similar to heapsort
Merge = operation to output one sorted number sequence from two already sorted input number sequences

To merge a sequence of size n with a sequence of size m, at most n+m−1 comparisons are required.
If the size of the input slides is n, the sum of the lengths of the split sequences in the merge stream is always n → the sum of the number of comparisons of the slide elements does not exceed n.
The number of stages of merge sort is at most log₂n → the comparison rank is n(log₂n)
*Order notation nlogn

Comparison-based sorting algorithms always require O(nlogn) comparisons because they narrow down the candidates by the result of scratching two elements.
The order of scratching the elements = Algorithm
Number of comparisons in worst case = height of decision tree

Extracting information that matches the purpose from a large amount of data = information retrieval
""",,"""Nothing in particular""",,"""The diagrams were clear and easy to understand.""",,,,-1
C-2021-2_U66,"""About heapsort and mergesort algorithms. (Binary search method)""","""I was able to understand the algorithms and computational complexity of heapsort and mergesort.""","""I couldn't understand the number of comparisons in the comparison sorting algorithm in the second half.""",,"""Heapsort is a bit complicated, but I thought I could sort by following the steps.""",,,,-2
C-2021-2_U67,"""There is heap software that uses a binary tree, and the binary tree has the drawback that the calculation time changes depending on the order of the numbers input. There are two conditions for what is called a heap. , These two are heap sort.Also, when comparing soap and heat soap in a simple binary tree, heat soap is more efficient from a certain number.There is also merge sort, and merge is It creates a sequence from two already aligned input sequences.There is also a method called binary search.""",,,,,,,,-1
C-2021-2_U68,"""In integer sorting, the maximum number of comparisons is n(n-1)/2 in the case of a naive binary tree. However, in the case of heap sorting, it can be done in 3nlog2(n) times, and as n increases, Heapsort takes fewer tries.""","""It turns out that which sort is faster depends on the number of integers n. In this example, when n is small, the naive binary tree sort is better, and when n is large, the heap sort is better. Are better.""","""Nothing in particular.""","""Nothing in particular.""","""It was interesting to learn that there are various algorithms other than bubble sort and selection sort, which I followed last time.""",,,,-3
C-2021-2_U70,"""The content of this time is a continuation of the previous sorting, and we learned about merge sort. Merge sort is the work of comparing the first element of each of the two input arranged number sequences and extracting the smaller one. In addition, by using this, one or more sorted input sequences are repeatedly divided until each element becomes two, and the smallest chunk is sorted by It is possible to sort by adopting a merge sort method, and the number of comparisons in this method is at most n[log2n].""","""In today's content, in addition to the two sorting methods we learned last time, we were able to sort a sequence using a new technique called merge sort. Also, we were able to calculate the number of comparisons on our own.""","""When calculating the number of comparisons for comparison sorting, I didn't quite understand the explanation that the number of comparisons is proportional to nlogn due to the height of the decision technique.""",,"""In this class, we learned about the third method of sorting, but it was interesting to generalize these and come to the conclusion that the number of comparisons for comparison sorting always requires O(nlogn). """,,,,-1
